date,time,headline,datetime,neg,neu,pos,sentiment_score
2023-10-01,12:15PM,1 Artificial Intelligence (AI) Stock to Buy Now That Could Soar Like Nvidia,2023-10-01 12:15:00,0.0,0.641,0.359,0.6808
2023-10-01,09:45AM,"Bullish on Amazon, Walmart, and Costco? This Rival Retail Stock Has Beaten Them All.",2023-10-01 09:45:00,0.17,0.727,0.103,-0.2732
2023-10-01,08:30AM,The Business of Nightclubs,2023-10-01 08:30:00,0.0,1.0,0.0,0.0
2023-10-01,08:00AM,Talking Digital Privacy With Cybersecurity Expert and Author Tom Kemp,2023-10-01 08:00:00,0.0,1.0,0.0,0.0
2023-10-01,07:45AM,Energy consumption 'to dramatically increase' because of AI,2023-10-01 07:45:00,0.0,0.577,0.423,0.5267
2023-10-01,07:41AM,Where Will Pinterest Be in 5 Years? Here's How Management Would Answer the Question,2023-10-01 07:41:00,0.0,1.0,0.0,0.0
2023-10-01,07:25AM,6 Green Flags for Cloudflare's Future,2023-10-01 07:25:00,0.0,1.0,0.0,0.0
2023-10-01,07:07AM,Don't Wait for a Market Crash: These 2 Top Stocks Are On Sale,2023-10-01 07:07:00,0.2,0.667,0.133,-0.2263
2023-10-01,06:07AM,The FTC Sued Amazon. Should You Sell Amazon Stock Now?,2023-10-01 06:07:00,0.0,0.702,0.298,0.34
2023-10-01,05:52AM,"The Best Stocks to Invest $5,000 in Right Now",2023-10-01 05:52:00,0.0,0.656,0.344,0.6369
2023-10-01,05:50AM,"Every Artificial Intelligence (AI) Stock Warren Buffett Owns, Ranked From Best to Worst",2023-10-01 05:50:00,0.192,0.467,0.341,0.4939
2023-10-01,03:52AM,Top 20 Cloud Computing Companies in USA,2023-10-01 03:52:00,0.0,0.769,0.231,0.2023
2023-09-29,06:30PM,Amazon Has a Lot of Problems Suddenly. Itll Be OK.,2023-09-29 18:30:00,0.203,0.45,0.347,0.2342
2023-09-29,05:54PM,Regulators Take On Amazon: The FTC's Make or Break Moment,2023-09-29 17:54:00,0.0,0.841,0.159,0.1779
2023-09-29,05:30PM,"Have $1,000? These 2 Stocks Could Be Bargain Buys for 2023 and Beyond",2023-09-29 17:30:00,0.0,0.859,0.141,0.2023
2023-09-29,04:37PM,"The Score: Ford, Amazon, Target and More Stocks That Defined the Week",2023-09-29 16:37:00,0.0,0.866,0.134,0.1779
2023-09-29,04:30PM,Amazon Invests Billions in AI   and Could Become a Major Play in the AI Race,2023-09-29 16:30:00,0.0,0.745,0.255,0.4767
2023-09-29,03:40PM,US labor board says Amazon breached terms of 2021 labor rights settlement,2023-09-29 15:40:00,0.0,0.866,0.134,0.1779
2023-09-29,03:40PM,Alphabet and Meta Platforms Better Watch Out for Amazon,2023-09-29 15:40:00,0.0,0.603,0.397,0.5574
2023-09-29,03:34PM,Amazon to Open Pair of Facilities in Virginia Beach,2023-09-29 15:34:00,0.0,0.825,0.175,0.1779
2023-09-29,03:00PM,Saddled With Healthcare Costs? 6 Ways to Save on Medication,2023-09-29 15:00:00,0.0,0.714,0.286,0.4939
2023-09-29,02:42PM,"Amazon Violated Worker Rights Settlement, NLRB Says",2023-09-29 14:42:00,0.337,0.495,0.168,-0.4019
2023-09-29,02:37PM,Teamsters union pickets two Amazon warehouses in Los Angeles,2023-09-29 14:37:00,0.0,0.825,0.175,0.1779
2023-09-29,02:25PM,What Lina Khans antitrust case could mean for Amazon,2023-09-29 14:25:00,0.0,0.825,0.175,0.1779
2023-09-29,02:07PM,Amazon puts next-gen AI platform into wide release,2023-09-29 14:07:00,0.0,0.805,0.195,0.1779
2023-09-29,02:00PM,FTC v. Amazon   Three possible outcomes,2023-09-29 14:00:00,0.0,0.746,0.254,0.1779
2023-09-29,12:30PM,3 Good Reasons to Buy Your Next Printer at Costco,2023-09-29 12:30:00,0.0,0.734,0.266,0.4404
2023-09-29,12:29PM,"Stock Market Rally Attempt Underway; Micron, Nike, Amazon, Meta In Focus: Weekly Review",2023-09-29 12:29:00,0.0,0.876,0.124,0.1779
2023-09-29,12:26PM,25 Hottest Selling Products in USA in 2023,2023-09-29 12:26:00,0.0,1.0,0.0,0.0
2023-09-29,12:20PM,20 Most Influential Entrepreneurs Today,2023-09-29 12:20:00,0.0,0.556,0.444,0.4927
2023-09-29,12:14PM,Expedia's (EXPE) Latest Goals to Boost Sustainability Efforts,2023-09-29 12:14:00,0.0,0.722,0.278,0.4019
2023-09-29,11:08AM,Tech Stocks Rally on Inflation Report,2023-09-29 11:08:00,0.0,1.0,0.0,0.0
2023-09-29,10:27AM,Top 30 Cities in the World with Most Millionaires,2023-09-29 10:27:00,0.0,0.816,0.184,0.2023
2023-09-29,10:27AM,Better Buy: Amazon vs. AMD,2023-09-29 10:27:00,0.0,0.395,0.605,0.5574
2023-09-29,10:11AM,"Microsoft's Copilot Event, Microsoft (Quietly) Pulling the Surface Plug, Apple Is Thinking Differently",2023-09-29 10:11:00,0.0,1.0,0.0,0.0
2023-09-29,09:14AM,This Meal-Kit Stock Is Rising 134%. Its Being Bought for a Bite-Sized Valuation.,2023-09-29 09:14:00,0.0,1.0,0.0,0.0
2023-09-29,09:05AM,"AI Stocks Cool Off But Amazon, Meta Take Aim At Cloud, Consumer Apps",2023-09-29 09:05:00,0.0,0.748,0.252,0.4019
2023-09-29,08:33AM,"Amazon (AMZN) Stock Quotes, Company News And Chart Analysis",2023-09-29 08:33:00,0.0,0.825,0.175,0.1779
2023-09-29,07:05AM,Amazon's Big AI Investment Just Put Microsoft and Alphabet on Notice,2023-09-29 07:05:00,0.0,1.0,0.0,0.0
2023-09-29,07:00AM,"In soft market, Amazon and DHL maintain cargo flying with ATSG",2023-09-29 07:00:00,0.0,0.855,0.145,0.1779
2023-09-29,06:45AM,Amazon Is Investing $4 Billion in a ChatGPT Competitor. Here's Why.,2023-09-29 06:45:00,0.0,0.841,0.159,0.1779
2023-09-29,06:25AM,"Here's What Investors Should Know About Amazon's AI Strategy, and Its $4 Billion Anthropic Bet",2023-09-29 06:25:00,0.0,1.0,0.0,0.0
2023-09-29,06:15AM,Amazon Stock Fell by 8% Last Week: Is It a Buy?,2023-09-29 06:15:00,0.0,0.841,0.159,0.1779
2023-09-29,06:13AM,"2 Magnificent Stocks That I'm ""Never"" Selling",2023-09-29 06:13:00,0.0,0.562,0.438,0.5994
2023-09-29,06:10AM,Better Buy: Amazon vs Apple,2023-09-29 06:10:00,0.0,0.395,0.605,0.5574
2023-09-29,06:01AM,Better Buy: Amazon Stock vs. Disney Stock,2023-09-29 06:01:00,0.0,0.521,0.479,0.5574
2023-09-29,05:33AM,Is Amazon About to Get $8 Billion in Free Money?,2023-09-29 05:33:00,0.0,0.615,0.385,0.6124
