date,time,headline,datetime,neg,neu,pos,sentiment_score
2023-10-01,01:01PM,These Are The 12 Stocks Driving The S&P 500 Higher In 2023,2023-10-01 13:01:00,0.0,1.0,0.0,0.0
2023-10-01,12:22PM,30 Countries with the Cleanest Air in the World,2023-10-01 12:22:00,0.0,1.0,0.0,0.0
2023-09-29,12:06PM,"General Electric (GE), EnergyHub Team-Up for Grid Optimization",2023-09-29 12:06:00,0.0,0.729,0.271,0.3818
2023-09-28,04:07PM,"GE must face shareholder lawsuit over accounting, disclosures; judge urges settlement",2023-09-28 16:07:00,0.16,0.84,0.0,-0.2263
2023-09-28,08:14AM,General Electric's (GE) Unit Signs MOC With Ukrhydroenergo,2023-09-28 08:14:00,0.0,1.0,0.0,0.0
2023-09-26,08:00PM,Should Investors Buy General Electric or General Mills Stock Right Now?,2023-09-26 20:00:00,0.0,1.0,0.0,0.0
2023-09-26,06:48AM,GE Aerospace's CFM engines at heart of growing global probe grounding planes due to illegal aircraft parts,2023-09-26 06:48:00,0.177,0.739,0.084,-0.4404
2023-09-25,01:29PM,"Could slumping industrial, small cap stocks be good or bad?",2023-09-25 13:29:00,0.243,0.556,0.201,-0.1531
2023-09-24,05:36AM,"Up 125%, This Blue Chip Stock Has 1 Key Advantage That's Helping Investors Become Richer",2023-09-24 05:36:00,0.0,0.591,0.409,0.765
2023-09-23,08:00AM,Meta Stock Leads 5 Names Showing Resilience In Market Downturn,2023-09-23 08:00:00,0.0,1.0,0.0,0.0
2023-09-22,04:00PM,Can This Industrial Giant Spring Even Higher After 152% Gain?,2023-09-22 16:00:00,0.0,0.726,0.274,0.5267
2023-09-22,11:59AM,Markel (MKL) Gains 15% YTD: Will It Retain the Bull Run?,2023-09-22 11:59:00,0.0,0.806,0.194,0.34
2023-09-22,11:35AM,"Best Buy, GE HealthCare looking to expand retail healthcare presence",2023-09-22 11:35:00,0.0,0.552,0.448,0.7579
