date,time,headline,datetime,neg,neu,pos,sentiment_score
2023-10-01,01:01PM,These Are The 12 Stocks Driving The S&P 500 Higher In 2023,2023-10-01 13:01:00,0.0,1.0,0.0,0.0
2023-10-01,01:00PM,What's stopping Tesla from achieving Level 3 self-driving,2023-10-01 13:00:00,0.211,0.789,0.0,-0.1531
2023-10-01,12:18PM,11 Best Battery Stocks To Buy Before They Take Off,2023-10-01 12:18:00,0.0,0.682,0.318,0.6369
2023-10-01,12:09PM,12 Best Automotive Stocks To Buy Now,2023-10-01 12:09:00,0.0,0.588,0.412,0.6369
2023-10-01,11:05AM,Tesla Deliveries: What to Expect,2023-10-01 11:05:00,0.0,1.0,0.0,0.0
2023-10-01,10:00AM,"Tesla's AI Advances Could Make It The Next Apple, Says Trader",2023-10-01 10:00:00,0.0,1.0,0.0,0.0
2023-10-01,08:41AM,Tesla Vs. BYD 2023: TSLA Stock Near Key Level As Archrival Nears BEV Crown,2023-10-01 08:41:00,0.0,1.0,0.0,0.0
2023-10-01,07:51AM,Lithium Stocks List: 16 Biggest Lithium Stocks,2023-10-01 07:51:00,0.0,1.0,0.0,0.0
2023-10-01,07:30AM,Is Tesla Stock a Buy Now?,2023-10-01 07:30:00,0.0,1.0,0.0,0.0
2023-09-29,06:54PM,Options Action: Tesla jumps ahead of Q3 production and delivery numbers,2023-09-29 18:54:00,0.0,1.0,0.0,0.0
2023-09-29,05:18PM,Tesla rival Volkswagen plans electric version of iconic vehicle,2023-09-29 17:18:00,0.0,1.0,0.0,0.0
2023-09-29,04:39PM,"Tesla Deliveries, Government Shutdown And 5 Stocks To Watch Headline Investing Action Plan",2023-09-29 16:39:00,0.0,1.0,0.0,0.0
2023-09-29,04:39PM,Volkswagen plans electric version of iconic vehicle and new SUVs,2023-09-29 16:39:00,0.0,1.0,0.0,0.0
2023-09-29,04:17PM,"Nike, Ford, GM, Walgreens, Carnival, and More of Todays Stock Market Movers",2023-09-29 16:17:00,0.0,1.0,0.0,0.0
2023-09-29,04:03PM,Tesla Q3 Deliveries Loom But Bulls Are Already Focusing On The Cybertruck,2023-09-29 16:03:00,0.116,0.884,0.0,-0.1154
2023-09-29,04:03PM,"Volkswagen reveals electric iconic vehicle, new SUV production",2023-09-29 16:03:00,0.0,1.0,0.0,0.0
2023-09-29,03:39PM,"Volkswagen reveals electrified iconic model, new SUV production",2023-09-29 15:39:00,0.0,1.0,0.0,0.0
2023-09-29,03:29PM,Tesla employees share a major hint that the Cybertruck is about to launch,2023-09-29 15:29:00,0.0,0.833,0.167,0.296
2023-09-29,03:23PM,Is Rivian Stock A Buy Or A Sell With Tesla Bull Expecting The Cybertruck To Be Out By Halloween?,2023-09-29 15:23:00,0.0,1.0,0.0,0.0
2023-09-29,02:55PM,Tesla Stock Rises Ahead of Deliveries Data,2023-09-29 14:55:00,0.0,1.0,0.0,0.0
2023-09-29,02:53PM,"Wages are going to go up at Tesla, says Barclays' Dan Levy",2023-09-29 14:53:00,0.0,1.0,0.0,0.0
2023-09-29,02:41PM,Elon Musk wades into German debate over migration,2023-09-29 14:41:00,0.0,1.0,0.0,0.0
2023-09-29,02:15PM,Elon Musk Urges U.S. To Cut Reliance On Asia For Semiconductor Chips  'Fear Of Running Out Is Causing Every Company To Overorder  Like The Toilet Paper Shortage But At Epic Scale',2023-09-29 14:15:00,0.152,0.796,0.052,-0.34
2023-09-29,02:08PM,These Stocks Are Moving the Most Today,2023-09-29 14:08:00,0.0,1.0,0.0,0.0
