date,headline,sentiment_score
2023-10-02,Apple iPhone 15 Pro Lead Times Shorten As Supply Catches Up With Demand,0.0
2023-10-02,What to Watch for This Week as Markets Continue to Struggle,0.013095238095238097
2023-10-02,"Apple Could Be Revving Up Formula One Global Rights Thanks To Lionel Messi: What It Could Mean For Investors, Sports Fans - Liberty Formula One Group  ( NASDAQ:FWONA ) ",0.09814814814814815
2023-10-02,Players Upset As Velve's 'Counter-Strike 2' Drops Beloved 'CS:GO' Features - Apple  ( NASDAQ:AAPL ) ,0.12017045454545455
2023-10-02,"Microsoft's Satya Nadella Speaks: AI Could Bolster Google's Search Monopoly - Microsoft  ( NASDAQ:MSFT ) , Alphabet  ( NASDAQ:GOOGL ) ",-0.06666666666666665
2023-10-02,"October Is The Most Volatile Month Of The Year - AI Frenzy To Be Tested, Fed Speak, Bitcoin Squeeze - JPMorgan Chase  ( NYSE:JPM ) ",0.5
2023-10-02,"iPhone 15 Pro vs iPhone 13 Pro: Two Years Later, Should You Upgrade To Apple's Latest iPhone? - Apple  ( NASDAQ:AAPL ) ",0.15787878787878787
2023-10-02,"Market Clubhouse Morning Memo - October 2nd, 2023  ( Trade Strategy For SPY, QQQ, AAPL, MSFT, NVDA, META, And TSLA )  - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) ",0.2916666666666667
2023-10-02,Warner Bros. Discovery's  ( WBD )  REAL TIME WITH BILL MAHER Returns,0.2
2023-10-02,Wall Street Bulls Look Optimistic About Apple  ( AAPL ) : Should You Buy?,-0.0475
2023-10-02,"Apple Is a Magnificent Stock, But There Are 2 Big Reasons Investors Could Regret Buying It Right Now",0.1726190476190476
2023-10-02,"Grab The 16-inch MacBook Pro With M1 Pro Chip At A $1,000 Discount - Apple  ( NASDAQ:AAPL ) ",0.22000000000000003
2023-10-02,Futures Mixed After Government Shutdown Averted,0.0
2023-10-02,Qualcomm  ( QCOM )  Remains in Spotlight Throughout September,0.10892857142857143
2023-10-02,46% of Warren Buffett's Portfolio Is Invested in This Stock. Does That Mean You Should Buy Now?,-0.3125
2023-10-02,LinkedIn Founder Reid Hoffman Counters Elon Musk's AI Approach With 'Blitzscaling' Method to Propel Human Evolution - Microsoft  ( NASDAQ:MSFT ) ,0.0
2023-10-02,"Magnificent Seven tech stocks haven't been this cheap in six years, Goldman Sachs strategists say",0.575
2023-10-02,Tim Cook's 'Aha Moment' with Apple's Vision Pro - 'You Only Have A Few Of Those In A Lifetime' - Meta Platforms  ( NASDAQ:META ) ,0.012499999999999997
2023-10-02,Is Invesco FTSE RAFI US 1000 ETF  ( PRF )  a Strong ETF Right Now?,0.31111111111111106
2023-10-02,iPhone 15 Pro And 15 Pro Max Delays: Here Are The Latest Delivery Estimates - Apple  ( NASDAQ:AAPL ) ,0.14700000000000002
2023-10-02,Global Digital Asset Management  ( DAM )  Market Analysis Report 2023-2028: AI and Advanced Encryption - The Next Big Opportunities in Digital Asset Management,0.08
2023-10-02,Is It Safe to Invest Today? Here Are 2 Better Questions to Ask,0.6666666666666666
2023-10-02,"Microsoft's Satya Nadella To Take The Stand Today At Google Antitrust Trial: What You Need To Know - Microsoft  ( NASDAQ:MSFT ) , Alphabet  ( NASDAQ:GOOG ) , Alphabet  ( NASDAQ:GOOGL ) ",0.0
2023-10-02,"True wireless stereo earbuds market size to grow by USD 120.70 billion from 2022 to 2027, Driven by Increasing ... - PR Newswire",0.35
2023-10-02,"Could Apple Replace Google With Its Own Search Engine… It Maybe A Matter Of 'When,' Says Mark Gurman - Microsoft  ( NASDAQ:MSFT ) , Alphabet  ( NASDAQ:GOOG ) , Alphabet  ( NASDAQ:GOOGL ) ",0.44999999999999996
