date,headline,neg,neu,pos,sentiment_score,day_of_week,week
2023-10-03,10 high conviction stocks: Goldman Sachs,0.0,1.0,0.0,0.0,Tuesday,41
2023-10-03,"Is Meta Stock A Buy? Facebook Parent Wows With AI Glasses, Avatars And Chart Pattern",0.0,0.812,0.188,0.4588,Tuesday,41
2023-10-03,"U.S.-China Chip War Over Taiwan Nears Moment Of Truth For S&P 500, Nvidia, Apple And The World",0.184,0.708,0.108,-0.3818,Tuesday,41
2023-10-03,3 Things About Apple That Smart Investors Know,0.0,0.69,0.31,0.4019,Tuesday,41
2023-10-03,Factbox-European regulators crack down on Big Tech,0.0,1.0,0.0,0.0,Tuesday,41
2023-10-03,Better Buy: Amazon vs. Apple,0.0,0.395,0.605,0.5574,Tuesday,41
2023-10-03,Apple enforces new check on apps in China as Beijing tightens oversight,0.0,1.0,0.0,0.0,Tuesday,41
2023-10-02,Nvidia & Apple: What the charts show about the tech giants,0.0,1.0,0.0,0.0,Monday,41
2023-10-02,Apple iPhone 15 Pro Lead Times Shorten As Supply Catches Up With Demand,0.111,0.889,0.0,-0.128,Monday,41
2023-10-02,"These Stocks Are Moving the Most Today: Tesla, Rivian, Discover, Sphere Entertainment, Nvidia, and More",0.0,0.833,0.167,0.4215,Monday,41
2023-10-02,Microsoft Was Willing to Drop Bing Name to Nab Apple Search Deal,0.16,0.84,0.0,-0.2732,Monday,41
2023-10-02,Microsoft CEO Says Googles Agreements With Apple Unfairly Harmed Bing,0.235,0.606,0.159,-0.25,Monday,41
2023-10-02,"Falling Yields, Valuations Could Lift Mega-Cap Tech Stocks in Q4",0.151,0.849,0.0,-0.1531,Monday,41
2023-10-02,Hollywood actors to resume talks with studios after conclusion of writers' strike,0.12,0.88,0.0,-0.128,Monday,41
2023-10-02,Hollywood actors resume talks with studios after conclusion of writers' strike,0.13,0.87,0.0,-0.128,Monday,41
2023-10-02,Microsoft CEO Says Google Search Dominance to Give It AI Edge,0.0,0.847,0.153,0.2023,Monday,41
2023-10-02,Microsoft CEO Testifies About Limits of AI at Google Antitrust Trial,0.0,1.0,0.0,0.0,Monday,41
2023-10-02,Warner Bros. Discovery's (WBD) REAL TIME WITH BILL MAHER Returns,0.0,1.0,0.0,0.0,Monday,41
2023-10-02,Wall Street Bulls Look Optimistic About Apple (AAPL): Should You Buy?,0.0,0.813,0.187,0.3182,Monday,41
2023-10-02,"Apple Is a Magnificent Stock, But There Are 2 Big Reasons Investors Could Regret Buying It Right Now",0.184,0.695,0.122,-0.3071,Monday,41
2023-10-02,Qualcomm (QCOM) Remains in Spotlight Throughout September,0.0,1.0,0.0,0.0,Monday,41
2023-10-02,5 Things to Know Before Markets Open,0.0,1.0,0.0,0.0,Monday,41
2023-10-02,46% of Warren Buffett's Portfolio Is Invested in This Stock. Does That Mean You Should Buy Now?,0.0,1.0,0.0,0.0,Monday,41
2023-10-02,Wall Street Thinks This Top Stock Will Join the $2 Trillion Club Next Year. Time to Buy?,0.0,0.789,0.211,0.4588,Monday,41
2023-10-02,Apple and 4 More Quality Stocks to Buy After the Selloff,0.0,1.0,0.0,0.0,Monday,41
2023-10-02,Spotify boss urges UK to enact tougher regulation of tech gatekeepers,0.0,0.855,0.145,0.1779,Monday,41
2023-10-01,Apple iPhone 15 users complain about overheating issues as Apple prepares fix,0.185,0.815,0.0,-0.3612,Sunday,41
2023-10-01,1 Apple Chip Supplier the Market Has Given Up On -- Time to Buy Before It Soars?,0.0,1.0,0.0,0.0,Sunday,41
2023-10-01,A Trillion-Dollar Dividend Growth Stock to Buy and Hold Forever,0.0,0.755,0.245,0.3818,Sunday,41
2023-10-01,What Social Responsibilities Should Companies Have? A New Approach,0.0,1.0,0.0,0.0,Sunday,41
2023-10-01,"Shutdown Averted, McCarthy Faces Mutiny: Your Sunday US Briefing",0.14,0.86,0.0,-0.0772,Sunday,41
2023-10-01,Top NASDAQ ETFs for Q4 2023,0.0,0.735,0.265,0.2023,Sunday,41
2023-10-01,Rage-Poking and Wet Fingers: Why Some Gadgets Need More Buttons,0.0,1.0,0.0,0.0,Sunday,41
2023-10-01,AP Top Financial News at 9:44 p.m. EDT,0.0,0.795,0.205,0.2023,Sunday,41
2023-10-01,AP Top Extended Financial Headlines at 9:44 p.m. EDT,0.0,0.816,0.184,0.2023,Sunday,41
2023-09-30,Meta's AI gambits; Amazon's  antitrust fight with FTC: Weekly tech roundup,0.206,0.794,0.0,-0.3818,Saturday,40
2023-09-30,Top 5 Augmented Reality (AR) Stocks Among Hedge Funds,0.0,0.795,0.205,0.2023,Saturday,40
2023-09-30,Apple identifies issues causing overheating in the iPhone 15,0.0,1.0,0.0,0.0,Saturday,40
2023-09-30,Apple says it will fix software problems blamed for making iPhone 15 models too hot to handle,0.279,0.721,0.0,-0.7003,Saturday,40
2023-09-30,15 Best Beginner Stocks To Buy Now,0.0,0.588,0.412,0.6369,Saturday,40
2023-09-30,Talking Digital Privacy With Cybersecurity Expert and Author Tom Kemp,0.0,1.0,0.0,0.0,Saturday,40
2023-09-30,Apple Has an iPhone Problem,0.403,0.597,0.0,-0.4019,Saturday,40
2023-09-30,Can AI Imitate the 50 Greatest Classical Music Composers of All Time?,0.0,0.724,0.276,0.6369,Saturday,40
2023-09-30,"Every Artificial Intelligence (AI) Stock Warren Buffett Owns, Ranked From Best to Worst",0.192,0.467,0.341,0.4939,Saturday,40
2023-09-30,AP Top Financial News at 1:51 p.m. EDT,0.0,0.795,0.205,0.2023,Saturday,40
2023-09-29,Deep Value Stocks ETFs: Top 10 Picks,0.0,0.543,0.457,0.4939,Friday,40
2023-09-29,Apple finally solves a very urgent iPhone issue,0.0,0.544,0.456,0.4927,Friday,40
2023-09-29,"Microsoft revealed this week that Apple used Bing as a bargaining chip with Google, but it reportedly considered buying it and bringing search in-house",0.0,1.0,0.0,0.0,Friday,40
2023-09-29,12 Best Vanguard ETFs for Portfolio Diversification,0.0,0.588,0.412,0.6369,Friday,40
2023-09-29,25 Hottest Selling Products in USA in 2023,0.0,1.0,0.0,0.0,Friday,40
2023-09-29,20 Most Influential Entrepreneurs Today,0.0,0.556,0.444,0.4927,Friday,40
2023-09-29,The Dows Biggest 12-Month Winner Isnt What You Might Expect,0.0,0.703,0.297,0.5859,Friday,40
2023-09-29,Apple met with Chinese officials to discuss app restrictions: Report,0.0,1.0,0.0,0.0,Friday,40
2023-09-29,Megacap Slump Is Testing Apples Safe-Haven Status,0.0,1.0,0.0,0.0,Friday,40
2023-09-29,Apples Latest China Challenge: A Crackdown That Could Shrink Its App Store,0.0,0.885,0.115,0.0772,Friday,40
2023-09-29,5 Things to Know Before Markets Open,0.0,1.0,0.0,0.0,Friday,40
